Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Female,Loyal Customer,20,Personal Travel,Eco Plus,819,3,4,3,5,3,3,3,3,3,4,5,1,4,3,4,1.0,neutral or dissatisfied
Female,Loyal Customer,55,Personal Travel,Eco,277,2,0,2,3,5,5,4,4,4,2,4,3,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,23,Business travel,Eco Plus,950,0,4,0,2,2,4,2,2,4,1,5,2,5,2,0,0.0,satisfied
Female,Loyal Customer,23,Business travel,Business,3824,2,5,5,5,2,2,2,2,3,4,3,3,3,2,14,7.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Eco,1044,2,2,2,2,5,2,5,5,4,5,4,4,4,5,0,4.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,1068,3,3,3,3,5,4,5,4,4,5,4,5,4,4,0,0.0,satisfied
Male,Loyal Customer,39,Business travel,Eco,620,2,3,4,3,2,2,2,2,4,3,3,2,4,2,32,25.0,neutral or dissatisfied
Female,Loyal Customer,29,Business travel,Business,2338,1,1,1,1,2,2,2,2,3,4,4,5,4,2,21,1.0,satisfied
Male,Loyal Customer,62,Personal Travel,Eco,116,3,3,3,2,5,3,5,5,2,2,2,2,3,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,65,Personal Travel,Eco,229,4,4,4,5,2,5,5,3,3,4,1,4,3,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,32,Business travel,Business,1587,2,2,2,2,5,5,5,5,4,2,2,3,3,5,0,0.0,satisfied
Female,Loyal Customer,17,Business travel,Eco,280,2,3,3,3,2,2,3,2,4,2,4,2,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,52,Business travel,Business,587,5,5,5,5,3,5,5,4,4,4,4,1,4,1,0,0.0,satisfied
Female,disloyal Customer,19,Business travel,Eco,696,4,4,4,1,2,4,2,2,5,2,4,1,2,2,1,0.0,satisfied
Male,Loyal Customer,41,Business travel,Business,198,5,5,5,5,4,4,4,4,4,4,4,5,4,4,0,0.0,satisfied
Male,Loyal Customer,48,Business travel,Business,1592,4,1,1,1,4,2,3,4,4,4,4,1,4,3,10,0.0,neutral or dissatisfied
Male,Loyal Customer,33,Business travel,Business,2841,2,2,2,2,4,4,4,4,3,5,5,3,5,4,3,0.0,satisfied
Male,Loyal Customer,54,Business travel,Eco,964,4,1,1,1,4,4,4,4,5,4,3,4,1,4,0,0.0,satisfied
Male,Loyal Customer,32,Personal Travel,Eco,1481,3,4,2,1,3,2,3,3,4,4,1,1,5,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,50,Personal Travel,Eco,262,4,3,4,3,2,2,5,1,1,4,1,1,1,3,60,79.0,neutral or dissatisfied
Male,Loyal Customer,59,Personal Travel,Eco,696,4,4,4,3,5,4,5,5,3,5,5,4,4,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,56,Business travel,Business,3885,4,4,5,4,5,5,5,4,4,4,4,3,4,3,8,3.0,satisfied
Male,Loyal Customer,68,Personal Travel,Eco,216,2,4,2,4,4,2,4,4,5,3,4,4,4,4,4,8.0,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Business,1529,4,4,4,4,4,3,4,4,4,4,4,1,4,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,18,Business travel,Eco,399,2,1,2,4,5,2,5,5,3,4,4,1,4,5,0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Eco,630,1,2,1,3,2,1,2,2,4,2,4,1,3,2,61,52.0,neutral or dissatisfied
Female,Loyal Customer,59,Business travel,Business,829,1,1,1,1,5,4,5,3,3,3,3,3,3,3,0,0.0,satisfied
Male,disloyal Customer,20,Business travel,Eco,373,2,0,2,2,2,2,2,2,5,5,4,5,5,2,2,0.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Eco,265,3,3,3,3,5,3,1,3,3,3,3,3,3,5,36,30.0,satisfied
Male,Loyal Customer,70,Personal Travel,Eco,944,3,2,3,3,5,3,5,5,4,2,4,1,4,5,16,0.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Eco,84,5,3,3,3,5,5,5,5,1,3,5,5,1,5,5,5.0,satisfied
Female,Loyal Customer,36,Business travel,Business,3569,3,3,3,3,1,3,3,4,4,4,4,2,4,2,0,7.0,satisfied
Female,Loyal Customer,55,Business travel,Business,345,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0,satisfied
Male,Loyal Customer,36,Business travel,Business,812,3,3,3,3,5,5,4,1,1,2,1,3,1,3,0,0.0,satisfied
Male,Loyal Customer,51,Business travel,Business,689,2,2,2,2,2,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
Female,Loyal Customer,29,Personal Travel,Eco,223,2,4,2,3,5,2,5,5,4,5,5,3,5,5,6,0.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,2475,4,4,3,4,5,5,4,5,5,5,5,2,5,4,8,0.0,satisfied
Female,Loyal Customer,40,Personal Travel,Eco,674,2,2,2,3,2,2,2,2,1,4,3,2,3,2,0,21.0,neutral or dissatisfied
Female,disloyal Customer,30,Business travel,Eco,209,1,2,1,2,3,1,3,3,4,3,3,4,2,3,47,59.0,neutral or dissatisfied
Male,Loyal Customer,42,Business travel,Business,3959,2,2,2,2,2,4,5,5,5,5,5,3,5,4,0,0.0,satisfied
Female,Loyal Customer,47,Business travel,Business,1144,4,4,4,4,5,4,4,4,4,5,4,3,4,3,8,1.0,satisfied
Male,Loyal Customer,60,Business travel,Business,84,2,2,1,2,5,5,4,5,5,5,5,3,5,5,46,57.0,satisfied
Male,Loyal Customer,30,Business travel,Business,547,3,3,3,3,4,4,4,4,5,3,5,4,5,4,0,0.0,satisfied
Female,Loyal Customer,25,Business travel,Business,2125,4,4,4,4,4,4,4,4,4,1,3,2,3,4,0,12.0,neutral or dissatisfied
Male,Loyal Customer,28,Business travel,Business,3864,1,1,1,1,2,2,2,2,5,4,5,1,1,2,0,0.0,satisfied
Female,Loyal Customer,8,Personal Travel,Eco,1185,3,3,3,4,1,3,1,1,1,3,3,3,3,1,3,0.0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Business,1145,4,4,4,4,3,4,4,4,4,5,4,3,4,5,0,0.0,satisfied
Female,Loyal Customer,64,Business travel,Business,1773,2,4,3,4,5,3,3,2,2,3,2,4,2,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,45,Personal Travel,Eco Plus,270,4,3,2,4,2,4,3,3,3,2,3,2,3,4,8,0.0,neutral or dissatisfied
Female,Loyal Customer,30,Business travel,Business,205,0,5,0,4,2,2,2,2,3,5,3,3,4,2,0,0.0,satisfied
Female,Loyal Customer,45,Personal Travel,Eco,746,2,4,1,3,5,4,3,2,2,1,2,3,2,1,2,0.0,neutral or dissatisfied
Male,disloyal Customer,37,Business travel,Business,746,1,1,1,5,4,1,2,4,4,2,5,4,5,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Business,2153,2,0,3,3,3,3,3,3,4,3,4,5,5,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,19,Business travel,Business,489,3,3,3,3,3,3,3,3,3,1,2,3,3,3,36,31.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,1737,5,3,5,5,3,5,4,4,4,4,4,4,4,4,0,0.0,satisfied
Female,Loyal Customer,47,Personal Travel,Eco,196,3,2,3,3,4,3,4,1,1,3,1,4,1,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,27,Business travel,Business,526,4,4,4,4,4,4,4,4,3,3,4,2,3,4,4,0.0,neutral or dissatisfied
Male,Loyal Customer,58,Business travel,Business,762,4,4,4,4,4,5,4,5,5,5,5,4,5,5,0,0.0,satisfied
Male,Loyal Customer,59,Business travel,Business,1514,3,3,3,3,5,4,4,5,5,5,5,3,5,5,104,91.0,satisfied
Female,Loyal Customer,48,Business travel,Eco,689,4,2,2,2,4,2,3,4,4,4,4,1,4,3,27,11.0,satisfied
Female,disloyal Customer,28,Business travel,Eco,744,2,1,1,4,1,1,1,1,1,5,1,2,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,33,Business travel,Business,362,1,1,1,1,4,4,5,4,4,4,4,3,4,3,0,0.0,satisfied
Male,Loyal Customer,42,Business travel,Business,458,1,1,1,1,3,5,4,3,3,3,3,5,3,4,0,0.0,satisfied
Male,disloyal Customer,25,Business travel,Eco,1199,4,4,4,4,4,4,4,4,3,5,2,4,4,4,1,3.0,satisfied
Male,disloyal Customer,40,Business travel,Business,460,1,2,2,3,5,2,5,5,4,1,4,4,3,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,35,Business travel,Eco Plus,463,3,1,3,1,3,3,3,3,4,5,3,2,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,28,Personal Travel,Eco,351,3,5,3,1,5,3,5,5,3,2,4,5,4,5,0,0.0,neutral or dissatisfied
Male,disloyal Customer,37,Business travel,Business,612,5,4,4,2,2,4,2,2,3,2,4,5,5,2,0,0.0,satisfied
Male,Loyal Customer,51,Business travel,Business,3462,2,4,4,4,2,3,4,2,2,2,2,2,2,1,1,6.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Eco,1197,5,1,1,1,4,3,1,5,5,5,5,1,5,3,0,2.0,satisfied
Male,Loyal Customer,38,Business travel,Business,3016,1,1,1,1,4,5,3,4,4,4,3,3,4,3,46,49.0,satisfied
Female,Loyal Customer,42,Personal Travel,Eco,162,2,4,2,5,4,4,5,3,3,2,3,5,3,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,40,Personal Travel,Eco,532,1,4,1,3,1,1,1,1,5,4,4,4,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,17,Personal Travel,Eco,882,1,4,1,4,1,1,1,1,2,2,3,4,4,1,66,62.0,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Business,2657,2,3,3,3,4,4,4,2,2,2,2,3,2,1,48,30.0,neutral or dissatisfied
Female,Loyal Customer,26,Business travel,Business,502,5,5,5,5,4,4,4,4,3,3,5,3,5,4,0,0.0,satisfied
Male,disloyal Customer,24,Business travel,Eco,1739,1,1,1,3,5,1,5,5,3,3,2,2,4,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,29,Personal Travel,Eco,1174,2,4,1,1,5,1,5,5,3,4,3,3,2,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,25,Business travel,Business,280,2,5,5,5,2,2,2,4,4,4,3,2,2,2,178,221.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Business,2400,4,4,4,4,3,5,5,4,4,4,4,3,4,5,5,0.0,satisfied
Male,Loyal Customer,48,Personal Travel,Business,569,4,2,4,2,5,3,3,4,4,4,4,2,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,21,Business travel,Business,1561,4,4,4,4,5,5,5,5,4,1,2,3,1,5,0,0.0,satisfied
Male,Loyal Customer,37,Business travel,Business,1962,4,1,3,1,1,3,2,4,4,4,4,1,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,12,Personal Travel,Eco,811,3,1,3,2,2,3,2,2,3,4,2,1,3,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,66,Business travel,Business,302,5,5,5,5,4,4,2,4,4,4,4,4,4,2,0,0.0,satisfied
Male,disloyal Customer,27,Business travel,Business,2611,2,2,2,3,2,4,4,3,3,5,4,4,5,4,0,17.0,neutral or dissatisfied
Female,Loyal Customer,11,Personal Travel,Eco,1751,2,4,2,3,5,2,1,5,5,5,2,5,4,5,0,0.0,neutral or dissatisfied
Male,disloyal Customer,22,Business travel,Eco,331,4,1,4,2,3,4,3,3,5,3,4,5,5,3,14,34.0,satisfied
Male,disloyal Customer,24,Business travel,Eco,601,1,1,1,3,2,1,2,2,1,3,4,2,4,2,43,36.0,neutral or dissatisfied
Female,Loyal Customer,8,Personal Travel,Eco,197,2,4,2,3,4,2,4,4,4,3,5,4,4,4,0,1.0,neutral or dissatisfied
Female,Loyal Customer,23,Business travel,Eco,483,3,1,1,1,3,3,1,3,1,2,3,4,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,47,Business travel,Business,2433,3,3,4,3,3,5,5,2,2,2,2,4,2,5,0,0.0,satisfied
Male,disloyal Customer,35,Business travel,Eco,1721,4,4,4,4,4,4,4,4,1,5,4,3,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,32,Personal Travel,Eco,190,3,5,3,3,5,3,1,5,3,5,5,4,5,5,10,13.0,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Business,1431,1,1,1,1,2,5,4,4,4,4,4,4,4,4,6,0.0,satisfied
Female,Loyal Customer,59,Personal Travel,Eco,733,1,5,1,3,3,3,5,2,2,1,2,4,2,3,0,9.0,neutral or dissatisfied
Female,Loyal Customer,56,Business travel,Business,2760,1,1,3,3,5,1,2,5,5,4,1,1,5,3,28,26.0,neutral or dissatisfied
Male,Loyal Customer,46,Business travel,Business,3128,4,2,4,4,1,1,1,2,2,2,2,5,2,2,0,4.0,satisfied
Female,Loyal Customer,58,Business travel,Business,2182,1,5,4,4,5,4,4,3,3,3,1,2,3,1,25,22.0,neutral or dissatisfied
Male,disloyal Customer,20,Business travel,Eco,296,2,0,2,1,3,2,3,3,4,3,5,3,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,69,Personal Travel,Eco,373,2,0,2,5,2,2,2,2,4,4,5,5,5,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,18,Personal Travel,Eco,190,3,4,3,3,1,3,1,1,2,4,3,3,4,1,0,2.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Business,2397,0,5,0,3,4,5,5,3,3,3,3,4,3,4,0,0.0,satisfied
Female,Loyal Customer,53,Personal Travel,Eco,425,3,2,3,3,3,3,3,4,4,3,4,2,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,16,Personal Travel,Eco,562,3,5,4,3,1,4,1,1,3,3,4,4,5,1,29,30.0,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,1020,3,3,3,3,5,4,4,4,4,5,4,3,4,4,0,1.0,satisfied
Male,Loyal Customer,36,Business travel,Business,589,5,5,1,5,2,3,3,4,4,4,3,3,4,3,142,145.0,satisfied
Male,Loyal Customer,44,Business travel,Business,3647,5,5,2,5,1,3,4,5,5,5,5,5,5,2,0,0.0,satisfied
Female,Loyal Customer,29,Business travel,Business,3155,2,2,2,2,4,4,4,4,3,3,4,4,4,4,0,0.0,satisfied
Female,Loyal Customer,69,Business travel,Business,2221,3,4,4,4,2,4,4,3,3,3,3,4,3,4,14,17.0,neutral or dissatisfied
Male,disloyal Customer,27,Business travel,Business,449,0,0,0,5,2,0,5,2,3,3,4,4,4,2,0,2.0,satisfied
Male,Loyal Customer,58,Business travel,Eco,135,2,1,1,1,3,2,3,3,2,3,3,3,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,30,Personal Travel,Eco,257,2,4,2,4,1,2,1,1,2,1,3,2,3,1,0,23.0,neutral or dissatisfied
Female,Loyal Customer,58,Business travel,Business,466,4,5,5,5,5,2,2,4,4,4,4,3,4,2,14,12.0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Business,262,2,3,3,3,5,3,4,2,2,2,2,4,2,4,106,106.0,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Business,1721,3,3,3,3,3,5,4,2,2,2,2,3,2,3,1,0.0,satisfied
Male,Loyal Customer,12,Personal Travel,Eco,453,2,4,2,3,4,2,3,4,3,5,3,4,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,42,Business travel,Business,334,3,3,3,3,4,4,5,5,5,5,5,3,5,3,0,0.0,satisfied
Male,Loyal Customer,31,Personal Travel,Eco Plus,153,3,1,3,3,4,3,4,4,4,5,3,3,4,4,27,19.0,neutral or dissatisfied
Female,Loyal Customer,42,Business travel,Eco,177,4,1,1,1,4,3,5,4,4,4,4,4,4,5,0,0.0,satisfied
Female,disloyal Customer,20,Business travel,Eco,630,4,0,4,2,4,4,4,4,4,5,5,4,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Business,3724,1,1,1,1,2,4,4,5,5,5,5,3,5,4,6,0.0,satisfied
Female,Loyal Customer,26,Personal Travel,Eco Plus,1747,3,5,3,4,4,3,4,4,5,1,3,3,1,4,15,38.0,neutral or dissatisfied
Male,Loyal Customer,59,Business travel,Business,611,5,5,5,5,2,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
Male,Loyal Customer,30,Business travel,Business,1337,5,5,5,5,3,4,3,3,5,4,5,4,5,3,0,0.0,satisfied
Female,Loyal Customer,60,Personal Travel,Eco,401,2,4,2,3,3,2,3,5,5,2,5,3,5,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,24,Business travel,Business,456,2,3,3,3,2,2,2,2,4,4,3,4,3,2,119,116.0,neutral or dissatisfied
Female,Loyal Customer,21,Personal Travel,Eco,480,4,3,4,3,3,4,3,3,4,5,4,2,3,3,0,3.0,neutral or dissatisfied
Female,Loyal Customer,30,Business travel,Business,280,3,4,4,4,3,3,3,3,2,3,4,1,3,3,0,2.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,1500,2,2,2,2,3,4,4,2,2,2,2,3,2,5,6,0.0,satisfied
Male,disloyal Customer,23,Business travel,Eco,762,2,2,2,3,4,2,4,4,4,3,5,2,1,4,12,41.0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Business,3353,2,2,2,2,3,5,4,4,4,4,4,5,4,3,73,68.0,satisfied
Male,Loyal Customer,60,Business travel,Business,1121,4,4,4,4,5,5,4,4,4,4,4,4,4,4,0,0.0,satisfied
Male,Loyal Customer,33,Business travel,Business,2722,2,4,4,4,2,2,2,2,1,3,3,1,3,2,13,12.0,neutral or dissatisfied
Female,Loyal Customer,41,Business travel,Business,738,3,5,5,5,3,3,3,3,3,3,3,1,3,4,7,0.0,neutral or dissatisfied
Female,Loyal Customer,35,Personal Travel,Eco,813,3,1,3,2,3,3,3,3,3,5,1,3,2,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,67,Business travel,Eco,192,2,1,1,1,4,4,4,2,2,2,2,4,2,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,24,Business travel,Business,1190,1,1,1,1,4,4,4,4,1,2,2,4,3,4,0,0.0,satisfied
Male,Loyal Customer,48,Personal Travel,Eco,247,2,5,0,3,2,0,4,2,3,2,4,4,5,2,0,0.0,neutral or dissatisfied
Female,disloyal Customer,45,Business travel,Business,990,5,4,4,2,3,5,3,3,4,5,5,4,5,3,32,125.0,satisfied
Male,Loyal Customer,42,Business travel,Business,3347,3,3,2,3,2,5,5,4,4,4,4,4,4,4,11,19.0,satisfied
Female,Loyal Customer,28,Business travel,Eco Plus,680,5,2,2,2,5,5,5,5,5,5,4,2,3,5,7,2.0,satisfied
Female,Loyal Customer,23,Business travel,Eco Plus,605,5,2,2,2,5,5,4,5,2,1,5,4,4,5,0,1.0,satisfied
Female,Loyal Customer,39,Personal Travel,Eco,101,3,5,3,1,1,3,1,1,5,3,5,5,5,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,23,Personal Travel,Eco,748,3,4,3,4,4,3,4,4,3,2,4,2,3,4,10,0.0,neutral or dissatisfied
Male,Loyal Customer,46,Business travel,Business,3733,4,4,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0,satisfied
Male,Loyal Customer,49,Business travel,Business,204,4,4,4,4,2,4,5,3,3,4,4,3,3,3,0,0.0,satisfied
Female,Loyal Customer,48,Business travel,Eco,641,3,3,3,3,5,4,3,3,3,3,3,4,3,2,1,0.0,neutral or dissatisfied
Female,Loyal Customer,67,Business travel,Eco Plus,1417,4,5,5,5,1,4,2,4,4,4,4,1,4,3,0,0.0,satisfied
Female,Loyal Customer,63,Business travel,Eco,862,4,5,5,5,1,2,1,4,4,4,4,3,4,3,0,0.0,satisfied
Female,Loyal Customer,70,Personal Travel,Eco,1164,3,5,3,1,4,3,5,4,4,3,2,4,4,3,1,0.0,neutral or dissatisfied
Male,disloyal Customer,38,Business travel,Business,240,2,2,2,4,1,2,1,1,1,3,4,2,4,1,5,0.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Eco,503,4,3,4,2,5,4,5,5,3,2,5,2,4,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,457,5,5,5,5,1,3,4,4,4,5,4,3,4,4,14,15.0,satisfied
Female,Loyal Customer,21,Personal Travel,Eco,599,2,4,2,1,1,2,1,1,4,1,1,3,1,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,26,Business travel,Eco,1050,0,4,0,4,5,4,5,5,3,4,5,5,2,5,0,0.0,satisfied
Female,Loyal Customer,41,Business travel,Business,3852,4,4,4,4,3,5,4,4,4,4,4,3,4,3,0,0.0,satisfied
Male,Loyal Customer,45,Business travel,Business,227,5,5,5,5,2,2,4,5,5,5,5,3,5,3,0,0.0,satisfied
Male,Loyal Customer,58,Personal Travel,Eco,361,0,5,0,3,4,0,4,4,5,4,4,3,4,4,11,15.0,satisfied
Male,Loyal Customer,54,Personal Travel,Eco,2465,1,5,1,4,1,1,4,3,3,3,5,4,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,55,Personal Travel,Eco,457,0,4,0,1,5,5,5,3,3,0,3,3,3,5,0,0.0,satisfied
Female,disloyal Customer,24,Business travel,Eco,2588,2,1,1,3,2,2,2,3,3,4,4,2,4,2,0,23.0,neutral or dissatisfied
Male,disloyal Customer,25,Business travel,Eco,551,3,4,4,5,4,4,4,4,2,1,3,1,2,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,41,Business travel,Eco,128,4,3,3,3,3,4,3,3,3,4,1,2,3,3,0,3.0,satisfied
Male,Loyal Customer,39,Business travel,Business,1846,5,5,5,5,3,4,4,5,5,5,5,3,5,5,0,0.0,satisfied
Female,Loyal Customer,35,Business travel,Business,386,5,5,5,5,4,4,4,5,5,5,5,4,5,3,0,0.0,satisfied
Female,Loyal Customer,45,Business travel,Business,2542,2,2,2,2,3,4,5,5,5,5,5,4,5,4,10,0.0,satisfied
Female,disloyal Customer,25,Business travel,Eco Plus,1237,4,1,4,3,1,4,1,1,2,4,4,4,4,1,20,9.0,neutral or dissatisfied
Male,Loyal Customer,28,Personal Travel,Business,1496,3,5,3,3,2,3,2,2,4,2,3,4,5,2,41,48.0,neutral or dissatisfied
Male,Loyal Customer,50,Personal Travel,Eco,425,2,3,2,3,5,2,5,5,4,4,3,5,5,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,667,4,4,4,4,5,4,5,2,2,2,2,3,2,5,14,4.0,satisfied
Female,disloyal Customer,34,Business travel,Eco,239,2,4,2,4,1,2,1,1,4,3,3,2,2,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Eco,125,5,2,2,2,5,5,5,5,3,3,2,2,3,5,0,25.0,satisfied
Male,Loyal Customer,35,Business travel,Business,1529,2,2,2,2,4,5,5,4,4,4,4,3,4,3,17,16.0,satisfied
Female,Loyal Customer,53,Business travel,Business,436,3,3,3,3,4,4,4,4,4,4,4,5,4,3,12,6.0,satisfied
Male,Loyal Customer,37,Personal Travel,Eco,1074,4,1,4,3,3,4,3,3,2,5,4,4,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,28,Business travel,Eco Plus,925,2,4,4,4,2,2,2,2,1,3,3,1,3,2,7,5.0,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Eco,310,1,2,4,4,1,1,1,1,2,3,4,2,4,1,26,28.0,neutral or dissatisfied
Male,Loyal Customer,33,Business travel,Eco Plus,759,2,3,3,3,2,2,2,2,3,4,4,4,4,2,19,11.0,neutral or dissatisfied
Male,Loyal Customer,27,Business travel,Business,990,3,1,1,1,3,3,3,3,2,3,3,1,3,3,63,53.0,neutral or dissatisfied
Male,disloyal Customer,33,Business travel,Business,325,3,3,3,5,5,3,5,5,5,4,4,3,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Business,3175,3,3,3,3,2,3,2,2,1,5,1,2,4,2,49,36.0,satisfied
Female,Loyal Customer,51,Business travel,Eco Plus,461,5,4,4,4,4,1,1,5,5,5,5,2,5,1,0,0.0,satisfied
Male,disloyal Customer,38,Business travel,Business,430,2,3,3,2,1,3,1,1,5,4,5,3,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,9,Personal Travel,Eco Plus,2475,3,2,4,4,4,4,2,4,3,3,3,2,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,20,Business travel,Business,3784,3,1,4,1,3,3,3,3,3,1,4,3,4,3,65,92.0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Eco,894,4,4,4,5,3,4,3,3,5,5,2,3,5,3,1,0.0,satisfied
Female,Loyal Customer,30,Business travel,Business,594,5,5,5,5,4,5,4,4,2,4,1,4,1,4,32,30.0,satisfied
Male,Loyal Customer,29,Business travel,Business,719,2,2,2,2,2,2,2,1,1,3,3,2,2,2,129,158.0,neutral or dissatisfied
Male,Loyal Customer,64,Personal Travel,Eco,354,3,4,3,3,5,3,5,5,3,3,4,5,5,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Business,3577,3,3,1,3,3,4,4,2,2,2,2,5,2,3,0,0.0,satisfied
Male,disloyal Customer,26,Business travel,Business,281,4,0,4,4,5,4,5,5,3,3,5,3,5,5,72,70.0,satisfied
Male,disloyal Customer,21,Business travel,Eco,1111,2,2,2,4,2,2,2,2,1,3,4,1,3,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,11,Personal Travel,Eco,370,1,1,1,4,3,1,4,3,3,3,3,2,4,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Eco,333,2,2,2,2,5,2,5,5,4,1,1,3,2,5,37,14.0,neutral or dissatisfied
Male,Loyal Customer,35,Personal Travel,Eco Plus,666,2,5,2,3,4,2,4,4,4,5,2,1,4,4,14,7.0,neutral or dissatisfied
Male,Loyal Customer,23,Personal Travel,Eco Plus,266,3,0,3,2,2,3,2,2,3,2,5,3,4,2,0,15.0,neutral or dissatisfied
Male,Loyal Customer,35,Business travel,Business,2658,1,1,1,1,2,5,4,4,4,4,4,5,4,3,29,0.0,satisfied
Female,Loyal Customer,9,Business travel,Business,735,2,1,1,1,2,2,2,2,4,1,3,4,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,24,Business travel,Business,605,5,5,5,5,4,4,4,4,1,2,5,3,4,4,0,0.0,satisfied
Female,disloyal Customer,27,Business travel,Business,325,1,1,1,2,4,1,4,4,4,3,3,4,2,4,16,14.0,neutral or dissatisfied
Female,Loyal Customer,26,Personal Travel,Eco,2586,2,1,2,2,1,2,1,1,1,2,1,3,2,1,6,0.0,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Eco,679,5,1,4,1,5,5,5,5,3,2,3,3,2,5,22,4.0,satisfied
Male,Loyal Customer,39,Business travel,Eco Plus,447,3,5,3,5,3,3,3,3,1,5,3,3,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,67,Personal Travel,Eco,2300,4,4,3,3,3,3,2,2,2,3,2,2,2,3,12,0.0,satisfied
Male,disloyal Customer,38,Business travel,Eco,971,3,3,3,4,5,3,5,5,2,5,5,5,5,5,0,0.0,neutral or dissatisfied
